pl_name,hostname,sy_name,pl_bmasse,pl_rade,pl_dens,pl_bmassj,pl_radj,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_eqt,pl_insol,discoverymethod,disc_year,disc_facility,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_met,ra,dec,sy_dist
"Kepler-1167 b","Kepler-1167","Kepler-1167",3.57000000,1.71000000,3.920000,0.01120000,0.15255598,1.00393373900,0.0175000000,0.000000,89.76000,1419.00,1039.6970,"Transit",2016,"Kepler",,4971.00,0.750000,0.790000,-0.53589,4.2700,-0.0500,298.3026595,47.6939654,820.90500000
"Kepler-1740 b","Kepler-1740","Kepler-1740",11.00000000,3.32321414,1.650000,0.03470000,0.29647782,8.17240047500,0.0779000000,0.000000,82.80000,858.00,127.9500,"Transit",2021,"Kepler",,5705.00,0.905000,0.943000,-0.07942,,-0.0600,293.8736630,38.9224548,1061.77000000
"Kepler-1581 b","Kepler-1581","Kepler-1581",0.43700000,0.80000000,4.690000,0.00137000,0.07137122,6.28385491000,0.0686500000,0.000000,89.49000,1108.00,470.8620,"Transit",2016,"Kepler",,6022.00,1.230000,1.120000,0.39085,4.1700,0.0700,287.3713199,39.6036225,493.17500000
"Kepler-644 b","Kepler-644","Kepler-644",10.10000000,3.15000000,1.780000,0.03170000,0.28102418,3.17391710300,0.0464100000,0.000000,78.65000,1655.00,2381.7700,"Transit",2016,"Kepler",,6747.00,1.810000,1.490000,0.71041,1.6200,0.0800,295.4757022,43.4931119,1318.05000000
"Kepler-1752 b","Kepler-1752","Kepler-1752",18.70000000,4.54060463,1.100000,0.05900000,0.40508631,56.35850143000,0.2698000000,0.000000,88.46000,419.00,7.2900,"Transit",2021,"Kepler",,5446.00,0.821000,0.824000,-0.39819,7.2000,-0.2000,290.8541401,51.2227435,962.88800000
"Kepler-280 c","Kepler-280","Kepler-280",4.70000000,2.01000000,3.180000,0.01480000,0.17900000,4.80709100000,0.0560000000,0.000000,86.65000,1088.00,279.0850,"Transit",2014,"Kepler",,5744.00,0.886000,0.962000,-0.06437,5.6200,0.1213,291.3905325,42.1804735,780.36100000
"Kepler-1208 b","Kepler-1208","Kepler-1208",5.99000000,2.32000000,2.640000,0.01890000,0.20697654,11.08507637000,0.0901000000,0.000000,88.44000,665.00,37.6640,"Transit",2016,"Kepler",,5001.00,0.760000,0.800000,-0.55349,4.4700,-0.0300,291.8812445,44.5557587,825.17600000
"Kepler-263 c","Kepler-263","Kepler-263",6.66000000,2.47000000,2.430000,0.02100000,0.22000000,47.33277300000,0.2420000000,0.000000,89.80000,386.00,5.9940,"Transit",2014,"Kepler",,5265.00,0.785000,0.793000,-0.45614,2.2400,-0.0314,292.4698022,37.5677941,754.74700000
"Kepler-1101 b","Kepler-1101","Kepler-1101",6.66000000,2.47000000,2.430000,0.02100000,0.22035864,81.31510590000,0.3483000000,0.000000,89.99000,393.00,3.5770,"Transit",2016,"Kepler",,5614.00,0.910000,0.940000,-0.35135,4.2700,-0.0400,294.5693544,45.6711623,742.47300000
"HD 168746 b","HD 168746","HD 168746",85.81410000,11.10000000,0.345000,0.27000000,0.99300000,6.40400000000,0.0700000000,0.110000,,900.00,,"Radial Velocity",2002,"La Silla Observatory","G5",5570.00,1.090000,1.070000,0.04139,8.0000,-0.0800,275.4573269,-11.9229757,41.56810000
"WASP-107 c","WASP-107","WASP-107",111.23994245,13.00000000,0.278000,0.35000000,1.16000000,1066.00000000000,,0.270000,,,,"Radial Velocity",2020,"Multiple Observatories","K6",4425.00,0.657000,0.683000,-0.87943,3.4000,0.0200,188.3864277,-10.1462141,64.74140000
"Kepler-560 b","Kepler-560","Kepler-560",3.61000000,1.72000000,3.900000,0.01130000,0.15344812,18.47764449000,0.0899000000,0.170000,89.60600,298.00,2.4600,"Transit",2016,"Kepler",,3556.00,0.330000,0.340000,-1.71700,4.0700,-0.3900,300.2066441,45.0182402,109.30800000
"Kepler-150 d","Kepler-150","Kepler-150",8.20000000,2.79000000,2.070000,0.02580000,0.24900000,12.56093000000,0.1040000000,0.000000,89.95000,734.00,65.1420,"Transit",2014,"Kepler",,5560.00,0.939000,0.956000,-0.16141,1.7400,0.1200,288.2341025,40.5208970,891.09200000
"Kepler-498 b","Kepler-498","Kepler-498",9.43000000,3.03000000,1.860000,0.02970000,0.27031849,9.61375356000,0.0897000000,0.000000,87.37000,931.00,202.7750,"Transit",2016,"Kepler",,5744.00,0.960000,0.980000,0.17242,3.8900,-0.0400,290.3581592,44.5187225,938.84400000
